,Description,House_Type,Location,Price
175,3 BEDROOM HOUSE FOR RENT,3 Bedroom Penthouse,Off Admiralty Lekki Lagos," ₦ 11,000,000/year "
176,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Massionette,Ikoyi Lagos," ₦ 14,000,000/year "
177,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Terraced Duplex,"Orchid, Chevron Lekki Lagos"," ₦ 4,000,000/year "
178,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Semi Detached Duplex,Ikoyi Lagos," ₦ 17,000,000/year "
179,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Maisonette,"Phase 1, Lekki Lagos"," ₦ 10,000,000/year "
180,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ikoyi Lagos," ₦ 25,000,000/year "
181,4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 11,800,000/year "
182,HOUSE FOR RENT,Spacious 3 Bedroom Maisonette,Chevron Lekki Lagos," ₦ 4,000,000/year "
183,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ikota Lekki Lagos," ₦ 4,000,000/year "
184,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ologolo Lekki Lagos," ₦ 7,000,000/year "
185,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex + Bq,Ikate Lekki Lagos," ₦ 13,000,000/year "
186,5 BEDROOM HOUSE FOR RENT,Exotic 5 Bedroom Semi Detached Duplex,Ikate Lekki Lagos," ₦ 10,000,000/year "
187,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Ikoyi Lagos," ₦ 17,000,000/year "
188,2 BEDROOM HOUSE FOR RENT,Furnished 2 Bedroom Apartment,Lekki Right Lekki Lagos," ₦ 15,000,000/year "
189,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Lekki Lagos," ₦ 12,000,000/year "
