Description,House_Type,Location,Price
4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Terrace Duplex With Bq,Banana Island Ikoyi Lagos," ₦ 25,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Maisonette,Banana Island Ikoyi Lagos," ₦ 35,000,000/year "
6 BEDROOM HOUSE FOR RENT,6 Bedroom Detached Duplex,"Ecowas, Asokoro Abuja"," ₦ 40,000,000/year "
4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Fully Detached Duplex,Secound Tollgate Lekki Phase 2 Lekki Lagos," ₦ 9,000,000/year "
5 BEDROOM HOUSE FOR RENT,Newly Built 5 Bedroom Semi Detached Duplex With Bq,Old Ikoyi Lagos," ₦ 20,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikota Gra Lekki Lagos," ₦ 3,500,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment With Bq,Old Ikoyi Lagos," ₦ 24,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 12,000,000/year "
HOUSE FOR RENT,4 Bedroom Bungalow,Akala Express Ibadan Oyo," ₦ 1,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Diplomatic Zone Guzape Abuja," ₦ 6,000,000/year "
8 BEDROOM HOUSE FOR RENT,8 Bedroom Mansion,Diplomatic Zone Asokoro Abuja," ₦ 25,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,"By National Assembly Qt, Apo Abuja"," ₦ 8,000,000/year "
FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Flat,Fodacis Ibadan Oyo," ₦ 800,000/year "
FLAT / APARTMENT FOR RENT,Standard 3 Bedroom Flat,"Oke Ibukun Elebu, Ibadan Oyo"," ₦ 600,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 8,000,000/year "
HOUSE FOR RENT,4 Bedroom Terraced Duplex,"Phase 1, Lekki Lagos"," ₦ 7,000,000/year "
4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Detached Duplex,Oral Estate Lekki Lagos," ₦ 7,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex + Bq,Orchid Chevron Lekki Lagos," ₦ 5,500,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Penthouse,Off Admiralty Lekki Lagos," ₦ 11,000,000/year "
4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Massionette,Ikoyi Lagos," ₦ 14,000,000/year "
4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Terraced Duplex,"Orchid, Chevron Lekki Lagos"," ₦ 4,000,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Semi Detached Duplex,Ikoyi Lagos," ₦ 17,000,000/year "
4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Maisonette,"Phase 1, Lekki Lagos"," ₦ 10,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ikoyi Lagos," ₦ 25,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 11,800,000/year "
HOUSE FOR RENT,Spacious 3 Bedroom Maisonette,Chevron Lekki Lagos," ₦ 4,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ikota Lekki Lagos," ₦ 4,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ologolo Lekki Lagos," ₦ 7,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex + Bq,Ikate Lekki Lagos," ₦ 13,000,000/year "
5 BEDROOM HOUSE FOR RENT,Exotic 5 Bedroom Semi Detached Duplex,Ikate Lekki Lagos," ₦ 10,000,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Ikoyi Lagos," ₦ 17,000,000/year "
2 BEDROOM HOUSE FOR RENT,Furnished 2 Bedroom Apartment,Lekki Right Lekki Lagos," ₦ 15,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Lekki Lagos," ₦ 12,000,000/year "
4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex + Bq,Old Ikoyi Lagos," ₦ 16,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,"Oral Estate, Chevron Lekki Lagos"," ₦ 6,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Old Ikoyi Ikoyi Lagos," ₦ 20,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 5,000,000/year "
